study_accession	parent_study_accession	tax_id
PRJNA615757		
PRJNA620482		506599
PRJNA620692		749906
PRJNA620694		749906
PRJNA620696		749906
PRJNA620698		749906
PRJNA620700		749906
PRJNA620701		749906
PRJNA620703		749906
PRJNA620706		749906
PRJNA620716		749906
PRJNA622243		
PRJNA622479		1861841
PRJNA622548		1338477
PRJNA622629		1154581
PRJNA623009		
PRJNA623064		
PRJNA623490		410661
PRJNA623682		1427740
PRJNA623981		
PRJNA623984		
PRJNA624106		
PRJNA624319		
PRJNA624862		
PRJNA625075		
PRJNA625494		
PRJNA625746		
PRJNA625828		
PRJNA626778	PRJNA9557	7955
PRJNA627223		646099
PRJNA627224		646099
PRJNA627530		
PRJNA627742		
PRJNA628642	PRJNA39249	371601
PRJNA628651	PRJNA36225	1492
PRJNA628676	PRJNA35019	820
PRJNA628680		1326787
PRJNA628684	PRJNA844153	2731211
PRJNA629088		
PRJNA629378		
PRJNA629464		
PRJNA630133		
PRJNA630272		
PRJNA630282		
PRJNA630295		
PRJNA631001		
PRJNA631090		
PRJNA631127		410661
PRJNA631300		
PRJNA631334		
PRJNA631462		
PRJNA631574		
PRJNA631855	PRJNA12975	6689
PRJNA631857	PRJNA10718	9823
PRJNA631968	PRJNA9559	10090
PRJNA632011		
PRJNA632022		
PRJNA632048	PRJNA10621	10116
PRJNA632442		1861841
PRJNA632926		
PRJNA632942		410661
PRJNA633066	PRJNA9559	10090
PRJNA633381		
PRJNA633472		433724
PRJNA633542		
PRJNA633772		433724
PRJNA633837		433724
PRJNA634022		433724
PRJNA634240		
PRJNA634833		
PRJNA634963		
PRJNA635359		
PRJNA635372		
PRJNA635890		
PRJNA636950		
PRJNA637022		
PRJNA637639		
PRJNA637781		
PRJNA638088		
PRJNA638441		
PRJNA638916		
PRJNA639126		
PRJNA639219		1861841
PRJNA639535		
PRJNA639618		
PRJNA639982		
PRJNA641157		
PRJNA641230		1861841
PRJNA641709		
PRJNA641796		
PRJNA642013		
PRJNA642086		
PRJNA642408		
PRJNA643773		
PRJNA643973		
PRJNA644386		506599
PRJNA644775		
PRJNA644935		
PRJNA645285		
PRJNA645392		
PRJNA645509		
PRJNA645635		
PRJNA646583		408170
PRJNA646772		749906
PRJNA647364		
PRJNA647466		
PRJNA647832		410661
PRJNA647833		410661
PRJNA648020		410661
PRJNA648293		
PRJNA648297		1861841
PRJNA648299		
PRJNA648482		
PRJNA649405		
PRJNA649696		
PRJNA655706		
PRJNA656155		
PRJNA656389		749906
PRJNA656418		
PRJNA656717	PRJNA9559	10090
PRJNA657028	PRJNA67281	139723
PRJNA657304		
PRJNA657341		
PRJNA657406		
PRJNA657446		
PRJNA657720		
PRJNA657739		
PRJNA658643		
PRJNA658644		
PRJNA658699		
PRJNA658981		
PRJNA658986		
PRJNA658988		408170
PRJNA659280		
PRJNA659338		
PRJNA659406		
PRJNA659594		
PRJNA659785	PRJNA9558	9606
PRJNA659797		
PRJNA659875		
PRJNA669265		
PRJNA669285		
PRJNA669575		
PRJNA669826		
PRJNA681289		
PRJNA681546		1861841
PRJNA682270		1510822
PRJNA682704		1861841
PRJNA691124		
PRJNA691357		
PRJNA691379		
PRJNA691381		
PRJNA691455		408170
PRJNA691703		
PRJNA691728		
PRJNA691897		
PRJNA691978		1861841
PRJNA692187		
PRJNA692782		
PRJNA692784		
PRJNA692833		
PRJNA693584		410661
PRJNA694463		
PRJNA695533		
PRJNA720325		2705415
PRJNA720795		
PRJNA721093		1861841
PRJNA722229		
PRJNA722268		
PRJNA722269		
PRJNA722366		
PRJNA722774		
PRJNA722791		410661
PRJNA72567		749906
PRJNA730116		2083302
PRJNA730677		
PRJNA730687		
PRJNA730794		
PRJNA730993		408170
PRJNA730997		
PRJNA731070		
PRJNA731243		1861841
PRJNA731298		
PRJNA731313		
PRJNA731452		749906
PRJNA731553		
PRJNA731640		
PRJNA731933		
PRJNA732126		506600
PRJNA732130		
PRJNA733012	PRJNA9558	9606
PRJNA733108		
PRJNA733458		
PRJNA734115		
PRJNA734118		
PRJNA734483		433724
PRJNA734855		
PRJNA735571		
PRJNA735602		
PRJNA735874		
PRJNA736765		408170
PRJNA740098		
PRJNA740154		
PRJNA741071		
PRJNA741340		
PRJNA741356		
PRJNA741368		
PRJNA741616		
PRJNA741856		410661
PRJNA741974	PRJNA741941;PRJNA9559	10090
PRJNA741983		
PRJNA741988		
PRJNA742115		
PRJNA742361	PRJNA744090	
PRJNA742433		2854027
PRJNA742708		2705415
PRJNA742740		
PRJNA742875		
PRJNA742878		
PRJNA743014		
PRJNA743403		
PRJNA743510		
PRJNA743740		
PRJNA743756		410661
PRJNA743774	PRJNA10621	10116
PRJNA743808		
PRJNA744027		
PRJNA744071		
PRJNA744273		
PRJNA744320	PRJNA10637	7091
PRJNA745052	PRJNA10621	10116
PRJNA745184		
PRJNA745266		
PRJNA745587		1647806
PRJNA745993		
PRJNA746284	PRJNA9559	10090
PRJNA746721		
PRJNA747003		
PRJNA747119		
PRJNA747177		
PRJNA747730		
PRJNA749139		
PRJNA74945		9606
PRJNA749454	PRJNA9559	10090
PRJNA749467		
PRJNA74955		9606
PRJNA74959		9606
PRJNA750235		408170
PRJNA750269		
PRJNA750272		
PRJNA750273		
PRJNA750485		
PRJNA750612		
PRJNA750741		
PRJNA751971		
PRJNA751978		
PRJNA752131		
PRJNA752597	PRJNA757726	
PRJNA752610		
PRJNA752687		
PRJNA752804		
PRJNA753006		
PRJNA753133		
PRJNA753145	PRJNA9559	10090
PRJNA753609		
PRJNA753718		
PRJNA753725		
PRJNA753928		
PRJNA753953		
PRJNA754385		
PRJNA754515		
PRJNA755357	PRJNA76025;PRJNA9558	9606
PRJNA755428		
PRJNA755590		
PRJNA756099		
PRJNA757472		
PRJNA757473		
PRJNA757708		
PRJNA757726		
PRJNA758263		
PRJNA758357		
PRJNA758819		
PRJNA75909		9606
PRJNA75911	PRJNA75909;PRJNA9558	9606
PRJNA759121		
PRJNA759241		
PRJNA759351		
PRJNA759445		
PRJNA759620		
PRJNA759718		
PRJNA759750		
PRJNA760270		
PRJNA760519		
PRJNA760658		
PRJNA760797		
PRJNA761898		
PRJNA761978		
PRJNA762189		
PRJNA762197		
PRJNA762384		
PRJNA762543		646099
PRJNA762696		
PRJNA763060	PRJNA174707	186990
PRJNA763069		
PRJNA763176		
PRJNA763374		
PRJNA763375		
PRJNA763503		
PRJNA763531		
PRJNA763725		
PRJNA763732		
PRJNA763872		
PRJNA763907		
PRJNA763908		
PRJNA764337		
PRJNA764413		
PRJNA764601	PRJNA9559	39442
PRJNA765162		
PRJNA765356	PRJNA9558	9606
PRJNA765784		
PRJNA765947		
PRJNA766252		
PRJNA766254	PRJNA9558	9606
PRJNA766296		
PRJNA766303		
PRJNA766406		
PRJNA766465		
PRJNA766510		
PRJNA766796		
PRJNA76689		1115523
PRJNA767207		
PRJNA767368		
PRJNA767450		
PRJNA767930		
PRJNA768126	PRJNA10621	10116
PRJNA768678		
PRJNA768820		
PRJNA768826	PRJNA9554	7227
PRJNA768929		
PRJNA769516		
PRJNA769562		
PRJNA769797		410661
PRJNA772551		
PRJNA772737		
PRJNA772872		
PRJNA772875	PRJNA9559	10090
PRJNA772914		749906
PRJNA773135		
PRJNA773136		
PRJNA773218		
PRJNA773408		
PRJNA773412		
PRJNA773421	PRJNA12536	9544
PRJNA773596		
PRJNA773711		
PRJNA773865		
PRJNA773874		
PRJNA774203		
PRJNA774493		
PRJNA774630	PRJNA9559	10090
PRJNA774633		
PRJNA774905	PRJNA9559	10090
PRJNA776041		
PRJNA776160		
PRJNA777019		
PRJNA777024		
PRJNA777109		
PRJNA777442		
PRJNA777751		
PRJNA777805	PRJNA18709	1890280
PRJNA777811	PRJNA931415	1281486
PRJNA777815	PRJNA523880	1940789
PRJNA777820	PRJNA523880	1940789
PRJNA777832		
PRJNA778179	PRJNA10804	9031
PRJNA778194		408170
PRJNA77829	PRJNA77911	1117646
PRJNA778434		
PRJNA778437		
PRJNA778521		
PRJNA778606		
PRJNA778628		
PRJNA779092		
PRJNA779106		
PRJNA779235		
PRJNA779704		
PRJNA779736		
PRJNA779975		
PRJNA787405		
PRJNA787773		
PRJNA788187		410661
PRJNA788736		
PRJNA788761		
PRJNA788778		
PRJNA788991		
PRJNA789339		
PRJNA789426		
PRJNA789696		
PRJNA789908		
PRJNA79027		749906
PRJNA800009		
PRJNA800180		
PRJNA800185		408170
PRJNA800211		
PRJNA800248		
PRJNA800265		
PRJNA800611		
PRJNA800628		
PRJNA800685		
PRJNA800765		
PRJNA801778		
PRJNA801918		
PRJNA802090		1602388
PRJNA802314	PRJNA196003	2910523
PRJNA802594		
PRJNA802701		
PRJNA803154		
PRJNA803209		
PRJNA803239		
PRJNA803311		
PRJNA803601	PRJNA9559	10090
PRJNA803802		
PRJNA803875		410661
PRJNA804100		
PRJNA804254		410661
PRJNA805133		
PRJNA805235		
PRJNA805248		
PRJNA805254		
PRJNA805534		
PRJNA806378		
PRJNA806383		410661
PRJNA806449		
PRJNA806697		1861841
PRJNA806700		
PRJNA807096	PRJNA12319	562
PRJNA807356	PRJNA9558	9606
PRJNA807481		410661
PRJNA808632		1441287
PRJNA808633		410661
PRJNA808794		
PRJNA808881		
PRJNA809116		
PRJNA809154		
PRJNA809478		
PRJNA809667		
PRJNA809776		
PRJNA809834		
PRJNA809885		
PRJNA809945		
PRJNA812049		
PRJNA812337		
PRJNA812633		
PRJNA812635	PRJNA43379	7959
PRJNA812687		408170
PRJNA812699		2705415
PRJNA812865		
PRJNA813195		
PRJNA813732		749906
PRJNA813987		
PRJNA813999		
PRJNA814014		
PRJNA814061		
PRJNA814457		
PRJNA814680		
PRJNA815928		
PRJNA815940		
PRJNA816284		
PRJNA816292		
PRJNA816481		
PRJNA816660		
PRJNA816696	PRJNA10621	10116
PRJNA816698		
PRJNA816846		
PRJNA817054		
PRJNA817353		
PRJNA817358		
PRJNA817404		1861841
PRJNA817683		
PRJNA817685		
PRJNA817729		
PRJNA817737		
PRJNA818020		
PRJNA818122		
PRJNA818123		
PRJNA818494	PRJNA12818	9986
PRJNA818720		
PRJNA818796	PRJEB40770	
PRJNA819152		
PRJNA819835		
PRJNA819842		
PRJNA826079		
PRJNA826115		
PRJNA826556	PRJNA10621	10116
PRJNA826719		
PRJNA826725		
PRJNA827104		
PRJNA827848		749906
PRJNA827860		
PRJNA827971		
PRJNA827981		
PRJNA828172		
PRJNA828267		
PRJNA828392		
PRJNA828396		
PRJNA828538		
PRJNA850012		
PRJNA852343		
PRJNA852567		
PRJNA852805		
PRJNA853531		
PRJNA853783		
PRJNA854312		
PRJNA854380		
PRJNA854690		
PRJNA854752		410661
PRJNA854967		
PRJNA860047		
PRJNA860282		
PRJNA860284		
PRJNA860326		1681198
PRJNA860335		
PRJNA860372		
PRJNA860540		
PRJNA860604		
PRJNA861233		
PRJNA861251		
PRJNA861669		
PRJNA861680		408170
PRJNA861885		
PRJNA861970		410661
PRJNA862297		
PRJNA862340		
PRJNA862458	PRJNA9559	10090
PRJNA862480		
PRJNA862564		410661
PRJNA862889		
PRJNA862902		
PRJNA863263		
PRJNA863413		
PRJNA863423	PRJNA73263	7957
PRJNA863566		
PRJNA864568		
PRJNA864640		
PRJNA865029		
PRJNA865129		
PRJNA865802		
PRJNA865818		
PRJNA866308		410658
PRJNA867125		
PRJNA868859		
PRJNA86939		749906
PRJNA86941	PRJNA237646	749906
PRJNA86943		749906
PRJNA86945		749906
PRJNA86947		749906
PRJNA86953		749906
PRJNA86959	PRJNA237646	749906
PRJNA86963		749906
PRJNA870691	PRJNA10637	7091
PRJNA870976		
PRJNA871042		
PRJNA871043		
PRJNA871060		
PRJNA871098		
PRJNA871753		
PRJNA872287		
PRJNA872843	PRJNA9559	10090
PRJNA872852		
PRJNA872859		
PRJNA873028		
PRJNA873096		
PRJNA873788		
PRJNA873914		
PRJNA874082		410661
PRJNA874475		
PRJNA874536		
PRJNA874588		
PRJNA874801		
PRJNA874838	PRJNA19079	837
PRJNA874861		
PRJNA874883		
PRJNA874899		
PRJNA875083		
PRJNA875203		
PRJNA875373		
PRJNA875659		
PRJNA875681		
PRJNA875936		
PRJNA875965		
PRJNA876126		
PRJNA876282		
PRJNA876289	PRJNA10804	9031
PRJNA876315		
PRJNA876316	PRJNA10621	10116
PRJNA876375		
PRJNA876378		
PRJNA876576		
PRJNA876908		
PRJNA877047		
PRJNA877411		
PRJNA877465		
PRJNA877824		
PRJNA877868		
PRJNA878476	PRJNA9558	9606
PRJNA879102		
PRJNA880300	PRJNA427058	1601
PRJNA880302	PRJNA427058	1601
PRJNA880303	PRJNA56039	1632
PRJNA880353		
PRJNA880492		
PRJNA880689		
PRJNA880866		
PRJNA880869	PRJNA9559	10090
PRJNA880985	PRJNA10708	9913
PRJNA881586		
PRJNA881625		
PRJNA881630	PRJNA10621	10116
PRJNA881933		
PRJNA883534		1436733
PRJNA884098		
PRJNA884184	PRJNA9559	10090
PRJNA884309		
PRJNA885160		
PRJNA885263		
PRJNA885833		
PRJNA885840		
PRJNA885961		
PRJNA886105		
PRJNA886832		
PRJNA887124		408170
PRJNA887344		
PRJNA887535		
PRJNA887910		
PRJNA888549		
PRJNA888860		
PRJNA888967		
PRJNA889194		
PRJNA889218		
PRJNA889735		
PRJNA889990		410661
PRJNA890426		
PRJNA890468		
PRJNA890882		
PRJNA890889		
PRJNA891255		
PRJNA891274	PRJNA73263	7957
PRJNA891433		
PRJNA891461		
PRJNA891505		
PRJNA891612		
PRJNA891765		
PRJNA891886		
PRJNA891893		
PRJNA892057		
PRJNA892219		
PRJNA892439		
PRJNA892747	PRJNA936214	74361
PRJNA892878		1775950
PRJNA893350		
PRJNA893886		
PRJNA894134		749906
PRJNA894175		
PRJNA894717		
PRJNA895352		
PRJNA895371		
PRJNA895414		
PRJNA895462		
PRJNA895487		
PRJNA895548		410661
PRJNA895892		1861841
PRJNA895957		
PRJNA896256		
PRJNA896335		749906
PRJNA896349		
PRJNA896565		
PRJNA896736		
PRJNA896895		
PRJNA896988		410661
PRJNA897905		
PRJNA898069		
PRJNA898305		
PRJNA898675	PRJNA10718	9823
PRJNA898689		
PRJNA898781		
PRJNA898836		
PRJNA898862		749906
PRJNA899143		
PRJNA900019		
PRJNA900208		
PRJNA900391		
PRJNA900433		
PRJNA900444		
PRJNA900555		
PRJNA901141		
PRJNA901207		
PRJNA901248		
PRJNA901532	PRJNA9559	10090
PRJNA901622		
PRJNA901926		
PRJNA902970		
PRJNA903547		
PRJNA903662		
PRJNA903762		410661
PRJNA903943	PRJNA11772	69293
PRJNA903952		
PRJNA903962		
PRJNA90453		749906
PRJNA905181		
PRJNA905228		410661
PRJNA906288		
PRJNA907010		
PRJNA907521		
PRJNA908648		
PRJNA908788		410661
PRJNA910312		
PRJNA910465		
PRJNA910652		
PRJNA910808		
PRJNA910981		1796646
PRJNA911332		
PRJNA911346	PRJNA37343	1623
PRJNA911352	PRJNA164279	341027
PRJNA911430		
PRJNA911459		
PRJNA911510		
PRJNA911604		
PRJNA911642		
PRJNA911776		
PRJNA912077		
PRJNA912122		
PRJNA912135		
PRJNA912388		
PRJNA912610		
PRJNA912676		
PRJNA912880		
PRJNA912904		
PRJNA913097	PRJNA9555	44477
PRJNA913183		
PRJNA913185	PRJNA36235	239935
PRJNA913411		
PRJNA913477		408170
PRJNA913671		
PRJNA913801		
PRJNA913825		1441288
PRJNA914224		
PRJNA914487		408170
PRJNA914875		
PRJNA914994		
PRJNA915098		
PRJNA915486		
PRJNA915760		
PRJNA916259		
PRJNA916398		
PRJNA916466		
PRJNA916638		
PRJNA917543		
PRJNA919158		
PRJNA919496		
PRJNA921826		
PRJNA921907		
PRJNA922338		
PRJNA922690		
PRJNA922695		
PRJNA922699		749906
PRJNA922700		
PRJNA923145		
PRJNA923401		
PRJNA923505		
PRJNA923682		
PRJNA923753		
PRJNA923840		1861841
PRJNA924360		
PRJNA924536	PRJNA9558	9606
PRJNA924960	PRJNA12335	216816
PRJNA925110		
PRJNA925111		
PRJNA925233		
PRJNA925308		
PRJNA925433		749906
PRJNA925436		2705415
PRJNA925552		749906
PRJNA925819		
PRJNA925842		
PRJNA925853		
PRJNA926485		
PRJNA926635		
PRJNA927010		
PRJNA927276		
PRJNA928247		
PRJNA928417		
PRJNA928438		1861841
PRJNA928694		
PRJNA928758		
PRJNA929119		
PRJNA930372		
PRJNA930557	PRJNA9559	10090
PRJNA930563		
PRJNA931596		
PRJNA931614		
PRJNA931649		
PRJNA931654		1602388
PRJNA932214		
PRJNA932253		
PRJNA932270		
PRJNA932855		4859
PRJNA933377		410661
PRJNA933805		
PRJNA934268		
PRJNA934281		
PRJNA934657		
PRJNA934681		
PRJNA934689		
PRJNA934696		
PRJNA935040		
PRJNA935168		
PRJNA935847		
PRJNA936003		
PRJNA936417		
PRJNA936834		
PRJNA936896		
PRJNA937004		410661
PRJNA937006		
PRJNA937070		
PRJNA937393		
PRJNA937416		
PRJNA937442		1602388
PRJNA938142	PRJNA9559	10090
PRJNA939356		
PRJNA944095		
PRJNA944159		3034326
PRJNA944270		
PRJNA944271	PRJNA10726	9615
PRJNA944392		
PRJNA944741		1436733
PRJNA944958		
PRJNA944976		506599
PRJNA945604		
PRJNA946342		
PRJNA947066		
PRJNA947373		
PRJNA949112		
PRJNA949392		
PRJNA949419		
PRJNA949540		506599
PRJNA949858		
PRJNA949869		
PRJNA970358		
PRJNA971483		
PRJNA971492	PRJNA9506;PRJNA971483	3702
PRJNA971753		
PRJNA971916		
PRJNA972353		
PRJNA980163		
PRJNA980223		
PRJNA980406		
PRJNA980410		
PRJNA980689		
PRJNA980694	PRJNA9559	10090
PRJNA981084		
PRJNA981100		
PRJNA981221		
PRJNA981639		70544
PRJNA981657		
PRJNA982737		
PRJNA983408		
PRJNA984452		
PRJNA985591		
PRJNA986662		
PRJNA986847		
PRJNA990359		
PRJNA991118		1775950
PRJNA991630		
PRJNA992120		
PRJNA992427	PRJNA952788;PRJNA9559	10090
PRJNA992803		
PRJNA992877		
PRJNA992919		
PRJNA992971		
PRJNA992977	PRJNA10621	10116
PRJNA993297		
PRJNA994135		
PRJNA994318		408170
PRJNA994469		
PRJNA994572		
PRJNA994595		
PRJNA995887		
PRJNA997075		
PRJNA997128	PRJNA211842	180164
PRJNA997708		
PRJNA998242		
PRJNA998586		
PRJNA999191		
PRJDB11505		410661
PRJDB11770		1284368
PRJDB12157		433724
PRJDB12212		408170
PRJDB12388		408170
PRJDB12928		408170
PRJDB13482		496924
PRJDB5813		408169
PRJDB5859		1833763
PRJDB5867		1833763
PRJDB5868		1833763
PRJEB1008	PRJNA207239	1263109
PRJEB1017	PRJNA207248	1263032
PRJEB1019	PRJNA207249	1262992
PRJEB1021	PRJNA164071	1262894
PRJEB1022	PRJNA164071	1262895
PRJEB1023	PRJNA160877	1262936
PRJEB1024	PRJNA164137	1262752
PRJEB1025	PRJNA184378	1262907
PRJEB1029	PRJNA160877	1262937
PRJEB1031	PRJNA164109	1262968
PRJEB19188		
PRJEB2062		
PRJEB30094		
PRJEB30667		
PRJEB30796		
PRJEB30862		
PRJEB32083		
PRJEB32222		
PRJEB32386		
PRJEB32997		
PRJEB42383		
PRJEB42439		
PRJEB42464		
PRJEB42528		
PRJEB43124		
PRJEB4403		
PRJEB44158		
PRJEB44379		
PRJEB44392		
PRJEB45269		
PRJEB45297		
PRJEB46619		
PRJEB46872		
PRJEB55267		
PRJEB55681		
PRJEB56624		
PRJEB56676		
PRJEB56886		
PRJEB57953		
PRJEB58774		
PRJEB59312		
PRJEB59472		
PRJEB59939		
PRJEB6162		
PRJEB6164		
PRJEB63231		
PRJEB6359		
PRJNA168470		408170
PRJNA183679		749906
PRJNA205420		408170
PRJNA207100		749906
PRJNA207766		433733
PRJNA208268		410661
PRJNA225865		749906
PRJNA227767		1202446
PRJNA248559		749906
PRJNA260213		506600
PRJNA262611		408170
PRJNA273790		410661
PRJNA273909		1338477
PRJNA277012		408170
PRJNA280748		1202446
PRJNA285751		1176744
PRJNA286822		1436733
PRJNA286940		1436733
PRJNA287305		1436733
PRJNA288515		749906
PRJNA289761		410661
PRJNA290282		749906
PRJNA290338	PRJNA9559	10090
PRJNA294097		410661
PRJNA300341		1602388
PRJNA300825		506599
PRJNA300914		506599
PRJNA301931		749906
PRJNA312103		749906
PRJNA312137		506599
PRJNA315956	PRJNA32227	47715
PRJNA316066		1202446
PRJNA328000		
PRJNA329668		1861841
PRJNA339970	PRJNA9558	408170
PRJNA344970	PRJNA10718	1510822
PRJNA366459		749906
PRJNA366460		749906
PRJNA366467		749906
PRJNA366488		749906
PRJNA366519		749906
PRJNA366520		749906
PRJNA366532		749906
PRJNA366586		749906
PRJNA366591		749906
PRJNA366606		749906
PRJNA366619		1202446
PRJNA380713		
PRJNA390457		1510822
PRJNA391159		1861841
PRJNA391927		1202446
PRJNA393584		1510822
PRJNA430124		
PRJNA430731		
PRJNA431470		
PRJNA431657		1861841
PRJNA432304		
PRJNA432860		749906
PRJNA432920		
PRJNA444896		1861841
PRJNA448771		
PRJNA464945		1580551
PRJNA464946		1580551
PRJNA464950		1580551
PRJNA477612		
PRJNA489587		
PRJNA503345	PRJNA9559	10090
PRJNA503384		
PRJNA505152		
PRJNA505228		
PRJNA51441		408170
PRJNA516977		2509433
PRJNA517347		
PRJNA523305	PRJNA9559	10090
PRJNA523476		1861841
PRJNA526751		
PRJNA528151		
PRJNA551040		
PRJNA560005		
PRJNA560717		
PRJNA561497		
PRJNA562048		1861841
PRJNA562467		
PRJNA562593		410661
PRJNA564899		
PRJNA565080		1861841
PRJNA565097		
PRJNA565265		
PRJNA565268		
PRJNA566046		
PRJNA575325		
PRJNA576908		749906
PRJNA576912		1436733
PRJNA577139		
PRJNA578196		749906
PRJNA579226		
PRJNA579877		1861841
PRJNA588682		
PRJNA589196		
PRJNA590026		
PRJNA590997	PRJNA183206	1564682
PRJNA595091		749906
PRJNA596884		
PRJNA598853	PRJNA9559	10090
PRJNA601328		
PRJNA601440		
PRJNA602045		
PRJNA615071		
PRJNA615660		749906
PRJNA628857		
PRJNA63079	PRJNA63071	408170
PRJNA63081	PRJNA63071	408170
PRJNA63083	PRJNA63071	408170
PRJNA632930		
PRJNA635779		
PRJNA641690		
PRJNA644216	PRJNA282430	109965
PRJNA646353		410661
PRJNA648813		
PRJNA649839		1861841
PRJNA658493		
PRJNA669011		
PRJNA669830		
PRJNA680376		
PRJNA681081		
PRJNA681631		
PRJNA682012		
PRJNA682027	PRJNA10718	9823
PRJNA682348		749906
PRJNA682536		
PRJNA692671		
PRJNA694799		
PRJNA697916		
PRJNA722190		
PRJNA731339		
PRJNA732668	PRJNA732751	1917889
PRJNA734369		
PRJNA735515		
PRJNA735796		
PRJNA736198		
PRJNA736550		
PRJNA746080		
PRJNA748833	PRJNA749101	597212
PRJNA749134		
PRJNA752780		
PRJNA753264		
PRJNA757756		
PRJNA757939		
PRJNA762095	PRJNA12536	9544
PRJNA764177		
PRJNA764743		749906
PRJNA766025		749906
PRJNA766621		
PRJNA769602		
PRJNA773589		
PRJNA773600		
PRJNA776538	PRJNA283654	115357
PRJNA776632		
PRJNA776673		
PRJNA778021		
PRJNA77839	PRJNA164399	1117957
PRJNA779376		
PRJNA78237	PRJNA9559	10090
PRJNA801232		410661
PRJNA801237		
PRJNA803260		
PRJNA803962		
PRJNA808442		410661
PRJNA809658		
PRJNA815750		
PRJNA850672		
PRJNA853463		
PRJNA853506	PRJNA135295	85552
PRJNA853952		
PRJNA854259		
PRJNA854667		
PRJNA854749		
PRJNA854756		
PRJNA865526		
PRJNA866210		506600
PRJNA866520		
PRJNA866710		
PRJNA866848		
PRJNA866924		
PRJNA868155		1602388
PRJNA868569	PRJNA9558	9606
PRJNA869432		
PRJNA86951	PRJNA237646	749906
PRJNA86961		749906
PRJNA869858		410661
PRJNA871082		
PRJNA884484		
PRJNA896731		
PRJNA898059		
PRJNA899684		
PRJNA904065		
PRJNA905698		
PRJNA906045		408170
PRJNA906648		
PRJNA908133		
PRJNA913555		
PRJNA917220		410661
PRJNA917700		
PRJNA918526		
PRJNA924547		408170
PRJNA926012	PRJNA10718	9825
PRJNA930873		
PRJNA933177		
PRJNA933393		1202446
PRJNA933537		
PRJNA937722		
PRJNA944100		2489051
PRJNA947186		
PRJNA947378		
PRJNA949425		
PRJNA958386		
PRJNA958445		
PRJNA970125		
PRJNA971196		
PRJNA972459		410661
PRJNA972642		
PRJNA984626		
PRJNA986300		
PRJNA995034		
PRJNA996732		
PRJNA997579		
PRJDB10157		408170
PRJDB11017		506599
PRJDB11257	PRJNA35195	33967
PRJDB12032		408170
PRJDB12530		506599
PRJDB13257		646099
PRJDB13358		1202446
PRJDB13561		2
PRJDB14652	PRJNA9559	10090
PRJDB14704		447426
PRJDB15587		2671518
PRJDB15956		2
PRJDB2611		496924
PRJDB2800		408170
PRJDB2895		749906
PRJDB3162		749906
PRJDB4507		410661
PRJDB4952		506599
PRJDB5326		408170
PRJDB5697		408170
PRJDB5698		408170
PRJDB5934		433724
PRJDB5943		1234904
PRJDB5956		1588881
PRJDB6499		408170
PRJDB6503		408170
PRJDB6506	PRJNA12305	1282
PRJDB6694		1202446
PRJDB6812		1436733
PRJDB6905		410661
PRJDB7053		408170
PRJDB7078		506599
PRJDB7191		410661
PRJDB7514		410661
PRJDB8184		410661
PRJDB8185		410661
PRJDB8228		1775950
PRJDB8338		410661
PRJDB8382		749906
PRJDB8391		408170
PRJDB9214		410661
PRJDB9239		408170
PRJDB9244		1202446
PRJDB9921		1338477
PRJDB9922		410661
PRJEB1004	PRJNA160767	1262839
PRJEB1006	PRJNA164071	1262893
PRJEB1016	PRJNA202947	1262898
PRJEB1026	PRJNA207260	1262686
PRJEB1036	PRJNA160877	1262938
PRJEB1038	PRJNA164221	1262980
PRJEB1044	PRJNA207211	1262685
PRJEB1045	PRJNA164137	1262754
PRJEB1756		
PRJEB17610		
PRJEB18037		
PRJEB18057		
PRJEB18536		
PRJEB19383		
PRJEB19392		
PRJEB19755		
PRJEB30674		
PRJEB30894		
PRJEB31438		
PRJEB32767		
PRJEB32787	PRJEB28154	
PRJEB32834		
PRJEB40488		
PRJEB41028		
PRJEB41533		
PRJEB41605	PRJEB32819	
PRJEB41824		
PRJEB41983		
PRJEB4246		
PRJEB42504		
PRJEB42598		
PRJEB42717		
PRJEB42773		
PRJEB42901		
PRJEB43117		
PRJEB44896		
PRJEB4562		
PRJEB45652		
PRJEB46294		
PRJEB46604		
PRJEB51122		
PRJEB52748		
PRJEB53984		
PRJEB54063		
PRJEB56002		
PRJEB56119		
PRJEB57207		
PRJEB58107		
PRJEB58374		
PRJEB58408		
PRJEB59049		
PRJEB59051		
PRJEB60097		
PRJEB60380		
PRJEB60561		
PRJEB60885		
PRJEB60954		
PRJEB61649		
PRJEB62041		
PRJEB62437		
PRJEB62571		
PRJEB62685		
PRJEB62708		
PRJEB62709		
PRJEB62852		
PRJEB64250		
PRJEB6482	PRJNA160759	1499688
PRJEB6485	PRJNA160767	1499691
PRJNA1010470		
PRJNA168512		408170
PRJNA169350		410661
PRJNA175429		77133
PRJNA176586		749906
PRJNA176598		749906
PRJNA178423	PRJNA183193;PRJNA37497	1256196
PRJNA178424	PRJNA183193;PRJNA37497	1256197
PRJNA178425	PRJNA183193;PRJNA37497	1256198
PRJNA178426	PRJNA183193;PRJNA37497	1256199
PRJNA178429	PRJNA183193;PRJNA37497	1256202
PRJNA178431	PRJNA183193;PRJNA37497	1256204
PRJNA178433	PRJNA183193;PRJNA37497	1256229
PRJNA18167	PRJNA28331;PRJNA35011	411903
PRJNA18187	PRJNA28331;PRJNA35023	411474
PRJNA18205	PRJNA160767;PRJNA28331	411486
